date,name,point
2019-01-01,보헤미안 랩소디,9.49
2019-01-01,헌터 킬러,9.43
2019-01-01,폴란드로 간 아이들,9.42
2019-01-01,트루먼 쇼,9.32
2019-01-01,점박이 한반도의 공룡2 : 새로운 낙원,9.24
2019-01-01,스파이더맨: 뉴 유니버스,9.23
2019-01-01,러빙 빈센트,9.20
2019-01-01,바울,9.18
2019-01-01,인생 후르츠,9.17
2019-01-01,극장판 포켓몬스터 모두의 이야기,9.16
2019-01-01,스타 이즈 본,9.15
2019-01-01,타샤 튜더,9.14
2019-01-01,히트,9.10
2019-01-01,로마,9.07
2019-01-01,카메라를 멈추면 안 돼!,9.02
2019-01-01,러브 오브 시베리아,9.02
2019-01-01,어거스트 러쉬,9.00
2019-01-01,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.78
2019-01-01,영주,8.68
2019-01-01,브로크백 마운틴,8.68
2019-01-01,완벽한 타인,8.68
2019-01-01,7년-그들이 없는 언론,8.52
2019-01-01,스윙키즈,8.50
2019-01-01,아쿠아맨,8.41
2019-01-01,그린치,8.36
2019-01-01,너의 췌장을 먹고 싶어,8.34
2019-01-01,국가부도의 날,8.23
2019-01-01,범블비,8.16
2019-01-01,부탁 하나만 들어줘,7.94
2019-01-01,트와일라잇,7.87
2019-01-01,런닝맨 : 풀룰루의 역습,7.76
2019-01-01,호두까기 인형과 4개의 왕국,7.39
2019-01-01,언니,6.77
2019-01-01,마약왕,6.69
2019-01-01,나쁜 나라,6.49
2019-01-01,도어락,6.41
2019-01-01,PMC: 더 벙커,5.57
2019-01-01,두 개의 문,5.15
2019-01-01,천안함 프로젝트,4.33
2019-01-02,보헤미안 랩소디,9.49
2019-01-02,폴란드로 간 아이들,9.42
2019-01-02,헌터 킬러,9.42
2019-01-02,트루먼 쇼,9.32
2019-01-02,스파이더맨: 뉴 유니버스,9.23
2019-01-02,점박이 한반도의 공룡2 : 새로운 낙원,9.23
2019-01-02,러빙 빈센트,9.20
2019-01-02,바울,9.17
2019-01-02,인생 후르츠,9.17
2019-01-02,극장판 포켓몬스터 모두의 이야기,9.16
2019-01-02,스타 이즈 본,9.15
2019-01-02,타샤 튜더,9.14
2019-01-02,로마,9.08
2019-01-02,러브 오브 시베리아,9.02
2019-01-02,카메라를 멈추면 안 돼!,9.02
2019-01-02,어거스트 러쉬,9.00
2019-01-02,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.77
2019-01-02,영주,8.68
2019-01-02,브로크백 마운틴,8.68
2019-01-02,완벽한 타인,8.68
2019-01-02,7년-그들이 없는 언론,8.52
2019-01-02,스윙키즈,8.50
2019-01-02,아쿠아맨,8.41
2019-01-02,그린치,8.35
2019-01-02,너의 췌장을 먹고 싶어,8.34
2019-01-02,국가부도의 날,8.22
2019-01-02,범블비,8.18
2019-01-02,부탁 하나만 들어줘,7.94
2019-01-02,트와일라잇,7.87
2019-01-02,런닝맨 : 풀룰루의 역습,7.76
2019-01-02,호두까기 인형과 4개의 왕국,7.40
2019-01-02,언니,6.90
2019-01-02,마약왕,6.68
2019-01-02,도어락,6.38
2019-01-02,PMC: 더 벙커,5.52
2019-01-02,두 개의 문,5.15
2019-01-03,보헤미안 랩소디,9.49
2019-01-03,폴란드로 간 아이들,9.42
2019-01-03,헌터 킬러,9.41
2019-01-03,트루먼 쇼,9.32
2019-01-03,스파이더맨: 뉴 유니버스,9.24
2019-01-03,러빙 빈센트,9.20
2019-01-03,점박이 한반도의 공룡2 : 새로운 낙원,9.20
2019-01-03,바울,9.17
2019-01-03,인생 후르츠,9.16
2019-01-03,극장판 포켓몬스터 모두의 이야기,9.16
2019-01-03,스타 이즈 본,9.15
2019-01-03,타샤 튜더,9.14
2019-01-03,로마,9.08
2019-01-03,러브 오브 시베리아,9.02
2019-01-03,카메라를 멈추면 안 돼!,9.02
2019-01-03,어거스트 러쉬,9.00
2019-01-03,주먹왕 랄프 2: 인터넷 속으로,8.96
2019-01-03,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.77
2019-01-03,영주,8.69
2019-01-03,브로크백 마운틴,8.68
2019-01-03,완벽한 타인,8.68
2019-01-03,스윙키즈,8.50
2019-01-03,아쿠아맨,8.39
2019-01-03,그린치,8.36
2019-01-03,너의 췌장을 먹고 싶어,8.33
2019-01-03,국가부도의 날,8.22
2019-01-03,범블비,8.16
2019-01-03,부탁 하나만 들어줘,7.92
2019-01-03,트와일라잇,7.87
2019-01-03,런닝맨 : 풀룰루의 역습,7.76
2019-01-03,호두까기 인형과 4개의 왕국,7.40
2019-01-03,군산: 거위를 노래하다,7.01
2019-01-03,언니,6.84
2019-01-03,마약왕,6.68
2019-01-03,도어락,6.37
2019-01-03,PMC: 더 벙커,5.50
2019-01-04,보헤미안 랩소디,9.49
2019-01-04,폴란드로 간 아이들,9.42
2019-01-04,헌터 킬러,9.41
2019-01-04,트루먼 쇼,9.32
2019-01-04,스파이더맨: 뉴 유니버스,9.23
2019-01-04,점박이 한반도의 공룡2 : 새로운 낙원,9.21
2019-01-04,러빙 빈센트,9.21
2019-01-04,바울,9.17
2019-01-04,인생 후르츠,9.16
2019-01-04,스타 이즈 본,9.15
2019-01-04,타샤 튜더,9.14
